top100,county_name,city,province,year,registered_pop_10k,gdp_10k,savings_10k,fiscal_rev_10k,fiscal_exp_10k,primary_industry_va_10k,secondary_industry_va_10k,tertiary_industry_va_10k,loans_10k,GDP,lngdp,cz,jr,cy
0,浦口区,南京市,江苏省,2020,79.33,13859300,8719800,701179,798258,483400,4698300,8677600,20599300,174704.3993,12.07085068,0.878386436,2.115482023,0.338999805
1,海安市,南通市,江苏省,2020,91.41,12216300,9903137,645405,1288217,719000,6424200,5073100,14070218,133642.9275,11.8029268,0.50100643,1.962407194,0.525871172
1,海门市,南通市,江苏省,2020,98.87,14425700,11124437,735021,1333463,687300,7101300,6637100,13741790,145905.7348,11.89071604,0.551212145,1.723744914,0.492267273
0,涟水县,淮安市,江苏省,2020,111.29,5540500,2810550,239819,730595,719500,2285400,2535600,3756525,49784.3472,10.8154559,0.328251631,1.185285624,0.412489847
0,溧水区,南京市,江苏省,2020,44.98,9115100,3561100,790223,1258948,504200,4595700,4015200,9834300,202647.8435,12.21922499,0.627685178,1.469583438,0.504185363
1,溧阳市,常州市,江苏省,2020,78.85,10863600,7695170,738032,1161984,544400,5399800,4919400,11301656,137775.5231,11.833381,0.63514816,1.748667661,0.497054383
0,滨海县,盐城市,江苏省,2020,121.25,5038600,3133571,243614,911482,711100,1940800,2386700,4546985,41555.46392,10.63478429,0.26727242,1.52434327,0.385186361
0,灌云县,连云港市,江苏省,2020,102.67,3816400,2283671,226126,697113,795900,1320500,1700000,3379334,37171.52041,10.52329817,0.324374958,1.483860444,0.346006708
0,灌南县,连云港市,江苏省,2020,81.5,3969400,1690398,239339,608057,667600,1760100,1541700,2989814,48704.29448,10.79352249,0.39361277,1.179072908,0.443417141
0,盱眙县,淮安市,江苏省,2020,79.01,4353200,2707086,192857,641721,754700,1556500,2042000,4464637,55096.82319,10.91684734,0.300530916,1.647460029,0.357553064
0,睢宁县,徐州市,江苏省,2020,141.09,6193400,4285017,385040,1008676,1099200,2395700,2698500,4638024,43896.80346,10.68959678,0.381728127,1.440733846,0.386814997
0,赣榆区,连云港市,江苏省,2020,119.83,6315800,3616646,300248,810173,1108800,2670600,2536400,5191328,52706.33397,10.87249092,0.370597391,1.394593559,0.422844295
0,通州区,南通市,江苏省,2020,125.0,14625100,12153564,717184,1374553,634300,7316300,6674500,14692462,117000.8,11.66993605,0.521757982,1.835613158,0.500256409
1,邳州市,徐州市,江苏省,2020,192.02,10012700,5295138,439020,1262755,1593300,3963800,4455600,6700424,52144.0475,10.86176531,0.347668392,1.198034696,0.395877236
0,金坛区,常州市,江苏省,2020,54.52,9731500,5159600,558184,871480,388400,4943300,4399800,10220100,178494.1306,12.092311,0.640501216,1.580403843,0.507968967
0,金湖县,淮安市,江苏省,2020,34.24,3370300,2148173,235398,494824,470300,1336500,1563500,2897115,98431.65888,11.49711777,0.47572066,1.496984838,0.396552236
0,阜宁县,盐城市,江苏省,2020,110.34,5742300,4229476,283128,914383,667000,2352000,2723300,3532640,52041.87058,10.85980388,0.309638303,1.351743378,0.409591975
1,靖江市,泰州市,江苏省,2020,65.0,10048000,6955700,608002,1062127,271500,5377700,4398800,11724600,154584.6154,11.9484969,0.572438136,1.85910629,0.535201035
0,高淳区,南京市,江苏省,2020,45.12,5131300,2983600,380065,860694,468700,2296800,2365800,6321400,113725.6206,11.64154399,0.441579702,1.813380625,0.44760587
1,高邮市,扬州市,江苏省,2020,79.65,8381800,5152342,379139,831678,901700,4107300,3372800,5888992,105232.8939,11.56393121,0.455872345,1.317298671,0.490026009
